id,direction,compartment,gpr,name,enzyme,deltag,reference,equation,definition,ms id,bigg id,kegg id,kegg pathways,metacyc pathways
rxn23602_c0,>,cytosol,Unknown,rxn-13340,,-95.83,,(1)  cpd00005[c0] + (1)  cpd24293_c0[c0] => (1)  cpd00006[c0] + (1)  cpd24292_c0[c0],(1)  Nicotinamide adenine dinucleotide phosphate - reduced[c0] + (1)  protodeoxyviolaceinate[c0] => (1)  Nicotinamide adenine dinucleotide phosphate[c0] + (1)  protoviolaceinate[c0],rxn23602,,,,Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS
rxn21218_c0,>,cytosol,Unknown,RXN-10922.c,,-53.35,,(1)  cpd00065[c0] => (1)  cpd23128_c0[c0],(1)  L-Tryptophan[c0] => (1)  IPA-imine[c0],rxn21218,,,,Antibiotic-Biosynthesis|Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS
rxn21219_c0,>,cytosol,Unknown,RXN-10923,,-15.17,,(2)  cpd23128_c0[c0] => (1)  M_nh4_c[c0] + (1)  cpd23085_c0[c0],(2)  IPA-imine[c0] => (1)  Ammonium[c0] + (1)  chromopyrrolate[c0],rxn21219,,,,Antibiotic-Biosynthesis|Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS
rxn23601_c0,>,cytosol,Unknown,RXN-13340,,-13.85,,(2)  cpd23128_c0[c0] => (1)  M_nh4_c[c0] + (1)  cpd00011[c0] + (1)  cpd24293_c0[c0],(2)  IPA-imine[c0] => (1)  Ammonium[c0] + (1)  CO2 CO2[c0] + (1)  protodeoxyviolaceinate[c0],rxn23601,,,,Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS
rxn21220_c0,>,cytosol,Unknown,RXN-10924.c,,-267.66,,(1)  cpd00004[c0] + (1)  cpd23085_c0[c0] => (1)  cpd00003[c0] + (1)  cpd00011[c0] + (1)  cpd23088_c0[c0],(3)  Nicotinamide adenine dinucleotide - reduced[c0] + (1)  chromopyrrolate[c0] => (3)  Nicotinamide adenine dinucleotide[c0] + (2)  CO2 CO2[c0] + (1)  K-252c[c0],rxn21220,,,,Antibiotic-Biosynthesis|Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS
rxn23605_c0,>,cytosol,Unknown,RXN-13344,,-94.61,,(1)  cpd00005[c0] + (1)  cpd24293_c0[c0] => (1)  cpd00006[c0] + (1)  cpd24296_c0[c0],(1)  Nicotinamide adenine dinucleotide phosphate - reduced[c0] + (1)  protodeoxyviolaceinate[c0] => (1)  Nicotinamide adenine dinucleotide phosphate[c0] + (1)  deoxyviolaceinate[c0],rxn23605,,,,Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS
rxn23607_c0,>,cytosol,Unknown,RXN-13346.c,,-117.5,,(1)  cpd24293_c0[c0] => (1)  cpd00011[c0] + (1)  cpd24295_c0[c0],(1)  protodeoxyviolaceinate[c0] => (1)  CO2 CO2[c0] + (1)  prodeoxyviolacein[c0],rxn23607,,,,Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS
rxn23603_c0,>,cytosol,Unknown,RXN-13342,,-94.61,,(1)  cpd00005[c0] + (1)  cpd24292_c0[c0] => (1)  cpd00006[c0] + (1)  cpd24297_c0[c0],(1)  Nicotinamide adenine dinucleotide phosphate - reduced[c0] + (1)  protoviolaceinate[c0] => (1)  Nicotinamide adenine dinucleotide phosphate[c0] + (1)  violaceinate[c0],rxn23603,,,,Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS
rxn23608_c0,>,cytosol,Unknown,RXN-13347,,-117.5,,(1)  cpd24292_c0[c0] => (1)  cpd24294_c0[c0],(1)  protoviolaceinate[c0] => (1)  proviolacein[c0],rxn23608,,,,Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS
rxn23604_c0,>,cytosol,Unknown,RXN-13343,,-143.05,,(1)  cpd24297_c0[c0] => (1)  cpd00011[c0] + (1)  cpd28321_c0[c0],(1)  violaceinate[c0] => (1)  CO2 CO2[c0] + (1)  violacein[c0],rxn23604,,,,Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS
rxn23606_c0,>,cytosol,Unknown,RXN-13345,,-143.05,,(1)  cpd24296_c0[c0] => (1)  cpd00011[c0] + (1)  cpd24291_c0[c0],(1)  deoxyviolaceinate[c0] => (1)  CO2 CO2[c0] + (1)  deoxyviolacein[c0],rxn23606,,,,Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS
